"!Template name","LANG_SE","LANG_EN"
"_clientsPageCusomer1","Account Factory","Account Factory"
"_clientsPageCusomer1About","Account Factory sköter bokföringen för småföretag. Bara fasta
 priser och allt på webben.","Account Factory manage accounting for small companies. Only fixed
 prices and everything is online."
"_clientsPageCusomer1Web","www.accountfactory.se","www.accountfactory.se"
"_clientsPageCusomer2","Green Hat People","Green Hat People"
"_clientsPageCusomer2About","Green hat People genomför oslagbara teambuildingaktiviteter i
 form av mobilstyrda spel där omgivningen utgör spelplanen. De
 finns representerade i hela Sverige och genomför teambuilding
 över hela Europa.","Green hat People does unbeatable teambuilding activities through
 mobile phone controlled games where the game board consists
 of the surroundings. Green Hat People are represented all over
 Sweden and preforms team building activities all over Europe."
"_clientsPageCusomer2Web","www.greenhatpeople.se","www.greenhatpeople.se"
"_clientsPageCusomer3","EventBook","EventBook"
"_clientsPageCusomer3About","Din partner för konferens, kick-off och företagsresor.","Your partner in conferences, kick-offs and company travels."
"_clientsPageCusomer3Web","www.eventbook.se","www.eventbook.se"
"_clientsPageCusomer4","Accenture Management Consulting","Accenture Management Consulting"
"_clientsPageCusomer4About","                                                            ","                                                           "
"_clientsPageCusomer4Web","www.accenture.com","www.accenture.com"
"_clientsPageCusomer5","COOP Nord","COOP Nord"
"_clientsPageCusomer5About","                   ","                   "
"_clientsPageCusomer5Web","www.coop.se/konsumnord","www.coop.se/konsumnord"
"_clientsPageCusomer6","IPAS","IPAS"
"_clientsPageCusomer6About","                                                            ","                                                            "
"_clientsPageCusomer6Web","                                        ","                                                           "
"_clientsPageCusomerVid","Go Enterprise","Go Enterprise"
"_clientsPageCusomerVidAbout","Go Enterprise är ett ungt managementbolag där vi brinner för
 tillväxt, entreprenörskap och samhällsutveckling. Genom våra
 RIKA-koncept inspirerar vi till handlingskraft och problemlösning.RIKA
 står för research, idé, koncept och action – de fyra stegen
 i en problemlösningsprocess.","Go Enterprise is a young management constultant company that
 is passionate about growth, entrepreneurship and social development.
 Through our RIKA concept, we inspire to take action and solve
 problems. RIKA stands for rescearch, idea, concept and action
 (in Swedish) - the four steps in a problem solving process."
"_clientsPageCusomerVidWeb","www.goenterprise.se","www.goenterprise.se"
"_clientsPageH1","Kundutlåtanden om SkrivaPå","Customer quotes about Scrive"
"_clientsPageTitle","| Kunder","| Customers"
"_clientsPageTopBody","<p>SkrivaPå är en tjänst för att underteckna och arkivera avtal
 elektroniskt. Vi hjälper våra kunder att minska sina kostnader,
 öka sin omsättning och spara frustration. </p>						<br />						<p>Vi
 är övertygade om att våra främsta styrkor är vår förmåga att
 se kundens behov, vår kundnära personliga approach och vår förmåga
 att lösa oerhört komplexa och svåra juridiska och säkerhetsrelaterade
 problem på sätt som verkar enkla och tilltalande för slutkund.</p>","<p>Scrive is a service for signing and storing contracts electronically.
 We help our customers to reduce their costs, increase their
 turnover and save frustration.</p>						<br />						<p>We are
 confident that our greatest strengths are our ability to detect
 customer needs, our customer-oriented approach, and our ability
 to solve complex legal and securityrelated issues in a way that
 seems simple and appealing to the end customer.</p>"
