"!Template name","LANG_SE","LANG_EN"
"_partnersPageH1","SkrivaPå´s Partners","Scrive's partners"
"_partnersPageH1Body","SkrivaPå är en tjänst för att underteckna och arkivera dokument
 elektroniskt. Vi har ett nära samarbete med ett flertal framstående
 aktörer inom datasäkerhet och signeringsteknik.","Scrive is a service for signing and storing documents online.
 We cooperate closely with several leading players in data security
 and signing technology."
"_partnersPageMetaDescription","Signera och arkivera dina avtal elektroniskt. Vi har nära samarbete
 med ett flertal framstående aktörer inom datasäkerhet och signeringsteknik.","Sign and store your contracts online. We cooperate closely with
 several leading players in data security and signing technology."
"_partnersPagePartner1","Logica","Logica"
"_partnersPagePartner1About","Logica är ett ledande internationellt IT-tjänstföretag som skapar
 värde genom att integrera människor, affärer och IT. Logica
 erbjuder verksamhetsinriktade konsulttjänster, systemintegration
 och outsourcing till kunder runt om i världen som inkluderar
 många av Europas största företag och organisationer.","Logica is a leading international IT-service company creating
 value by integrating people, business and IT. Logica provides
 business oriented consultant services, system integrations and
 outsourcing to customers around the world, including many of
 the largest companies and organisations in Europe."
"_partnersPagePartner1Area","Identifieringsteknik","Identification technology"
"_partnersPagePartner1Web","www.logica.se","www.logica.se"
"_partnersPagePartner2","Trustweaver","Trustweaver"
"_partnersPagePartner2About","TrustWeaver är ett specialiserat IT-säkerhetsföretag som tillhandahåller
 e-signerings-, tidsstämplings-, arkivering- och fakturainnehållslösningar
 som gör det möjligt för företag att vara 100% säkra att deras
 e-fakturor och andra företagskritiska elektroniska dokument
 godkänns av kontrollinstitut och domstolar som fullständiga
 och oändrade över väldigt långa tidsperioder.","TrustWeaver is a specialist IT-security company providing e-signature,
 time stamping, archiving and invoice solutions. TrustWaever
 makes it possible for companies to be 100 % confident that e-invoices
 and other critical documents will be approved by control institutes
 and courts as complete, and unchanged over very long periods
 of time."
"_partnersPagePartner2Area","Dokumentsäkerhet och signering","Document security and signing"
"_partnersPagePartner2Web","www.trustweaver.com","www.trustweaver.com"
"_partnersPagePartner3","Chalmers","Chalmers"
"_partnersPagePartner3About","Chalmers är ett av världens mest prestigefyllda tekniska universitet.
 SkrivaPå har ett nära samarbete med Chalmers Datasäkerhetsgrupp
 och samverkar i framtagningen av morgondagens säkerhetslösningar
 för så kallade cloud tjänster. ","Chalmers Technical University is one of the most prestigious
 technical universities in the world. Scrive cooperates closely
 with the data security group at Chalmers and participate in
 the development of the cloud sourced security solutions of the
 future."
"_partnersPagePartner3Area","Datasäkerhet","Data security"
"_partnersPagePartner3Web","www.chalmers.se","www.chalmers.se"
"_partnersPageTitle","| Partners","| Partners"
